SWK,NAMA_TPS,INPUT,ANGKUT,DIOLAH,SISA,rasio_angkut,rasio_diolah,rasio_sisa,indeks_jarak,WBI,LABEL
KORDOBA,TPS CEMPAKA ARUM,90.0,12.0,0.0,78.0,0.1333,0.0,0.8667,0.8681,0.8699,KRITIS
TEGALEGA,TIKUM CIGONDEWAH KALER RW 8,6.0,0.0,0.0,6.0,0.0,0.0,1.0,0.5714,0.8571,KRITIS
KORDOBA,TIKUM MENGGER 03,10.0,0.8571,0.0,9.1429,0.0857,0.0,0.9143,0.6703,0.8348,KRITIS
KORDOBA,TPS BABAKARAN,12.0,1.7143,0.0,10.2857,0.1429,0.0,0.8571,0.7253,0.8162,KRITIS
BOJONEGARA,TIKUM SUKARASA RW 04,7.0,1.0,0.0,6.0,0.1429,0.0,0.8571,0.6374,0.7869,KRITIS
BOJONEGARA,TIKUM APJ CIROYOM,24.0,3.0,0.0,21.0,0.125,0.0,0.875,0.5714,0.7764,KRITIS
KORDOBA,TIKUM CIPAMOKOLAN 02,8.0,1.7143,0.0,6.2857,0.2143,0.0,0.7857,0.6923,0.759,KRITIS
KORDOBA,TPS CIPAMOKOLAN 01,7.0,1.7143,0.0,5.2857,0.2449,0.0,0.7551,0.7473,0.7576,KRITIS
KORDOBA,TPS RANCABOLANG,18.0,5.1429,0.0,12.8571,0.2857,0.0,0.7143,0.7912,0.7459,KRITIS
TEGALEGA,TPS CIBADUYUT,24.0,12.0,0.0,12.0,0.5,0.0,0.5,1.0,0.6771,KRITIS
TEGALEGA,TPST NYENGSERET,24.0,12.0,0.0,12.0,0.5,0.0,0.5,0.967,0.6661,KRITIS
TEGALEGA,TPS PORIB,24.0,12.0,0.0,12.0,0.5,0.0,0.5,0.967,0.6661,KRITIS
TEGALEGA,TIKUM TPST RDF 1 & 2,24.0,12.0,0.0,12.0,0.5,0.0,0.5,0.9341,0.6551,KRITIS
BOJONEGARA,TPS SERSAN BAJURI,8.0,2.0,2.0,4.0,0.25,1.0,0.5,0.6923,0.6526,KRITIS
BOJONEGARA,TPS SARIMADU,36.0,12.0,5.0,19.0,0.3333,0.4167,0.5278,0.6484,0.6212,KRITIS
BOJONEGARA,TPS CIBOGO,12.0,4.0,2.0,6.0,0.3333,0.5,0.5,0.6044,0.5973,WASPADA
KAREES,TPS SUKABUMI,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.7143,0.5714,WASPADA
KAREES,TPS PEMKOT,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.6593,0.5531,WASPADA
TEGALEGA,TPS KOPO ELOK ,12.0,6.0,0.0,6.0,0.5,0.0,0.5,0.6264,0.5525,WASPADA
TEGALEGA,TPS MELONG ASIH,24.0,12.0,0.0,12.0,0.5,0.0,0.5,0.5714,0.5342,WASPADA
KORDOBA,TPS CIWASTRA,125.0,75.0,0.0,50.0,0.6,0.0,0.4,0.7363,0.5246,WASPADA
